tipo_tramite,tiempo_resolucion_dias,prioridad
solicitud_licencia_construccion,30,media
permiso_uso_espacio_publico,7,alta
solicitud_certificado_residencia,2,baja
denuncia_ruidos_molestos,3,alta
reclamo_alumbrado_publico,2,alta
solicitud_poda_arboles,10,media
registro_mascotas,1,baja
solicitud_limpieza_calles,3,media
emergencia_sanitaria,1,muy_alta
reporte_fuga_agua,1,muy_alta
solicitud_licencia_funcionamiento_comercial,15,alta
pago_impuestos_municipales,2,media
solicitud_constancia_posesion_propiedad,5,media
registro_actualizacion_datos_catastrales,7,media
permiso_eventos_publicos,10,alta
solicitud_regularizacion_obras,20,media
inscripcion_programas_sociales_municipales,5,media
solicitud_ayuda_social_asistencial,2,alta
denuncia_ocupacion_indebida_via_publica,3,alta
permiso_colocacion_anuncios_publicitarios,7,media
reclamo_basura_residuos_solidos,2,alta
solicitud_reparacion_vias_veredas,7,alta
solicitud_acceso_informacion_publica,10,media
renovacion_licencia_conducir,2,media
solicitud_copias_certificadas_documentos_municipales,3,baja
solicitud_licencia_construccion,45,alta
permiso_uso_espacio_publico,5,media
solicitud_certificado_residencia,1,media
denuncia_ruidos_molestos,2,muy_alta
reclamo_alumbrado_publico,1,muy_alta
solicitud_poda_arboles,15,media
registro_mascotas,2,baja
solicitud_limpieza_calles,5,alta
emergencia_sanitaria,1,muy_alta
reporte_fuga_agua,2,alta
solicitud_licencia_funcionamiento_comercial,20,media
pago_impuestos_municipales,1,alta
solicitud_constancia_posesion_propiedad,7,media
registro_actualizacion_datos_catastrales,10,media
permiso_eventos_publicos,15,alta
solicitud_regularizacion_obras,25,media
inscripcion_programas_sociales_municipales,3,baja
solicitud_ayuda_social_asistencial,3,media
denuncia_ocupacion_indebida_via_publica,2,alta
permiso_colocacion_anuncios_publicitarios,10,media
reclamo_basura_residuos_solidos,3,alta
solicitud_reparacion_vias_veredas,10,alta
solicitud_acceso_informacion_publica,15,baja
renovacion_licencia_conducir,3,media
solicitud_copias_certificadas_documentos_municipales,2,media
solicitud_licencia_construccion,21,baja
permiso_uso_espacio_publico,14,media
solicitud_certificado_residencia,2,media
denuncia_ruidos_molestos,5,alta
reclamo_alumbrado_publico,3,alta
solicitud_poda_arboles,7,baja
registro_mascotas,1,media
solicitud_limpieza_calles,2,alta
emergencia_sanitaria,1,muy_alta
reporte_fuga_agua,1,muy_alta
solicitud_licencia_funcionamiento_comercial,10,media
pago_impuestos_municipales,3,media
solicitud_constancia_posesion_propiedad,3,alta
registro_actualizacion_datos_catastrales,5,media
permiso_eventos_publicos,7,alta
solicitud_regularizacion_obras,30,alta
inscripcion_programas_sociales_municipales,2,media
solicitud_ayuda_social_asistencial,2,muy_alta
denuncia_ocupacion_indebida_via_publica,2,muy_alta
permiso_colocacion_anuncios_publicitarios,5,alta
reclamo_basura_residuos_solidos,1,muy_alta
solicitud_reparacion_vias_veredas,5,alta
solicitud_acceso_informacion_publica,7,media
renovacion_licencia_conducir,1,baja
solicitud_copias_certificadas_documentos_municipales,4,media
solicitud_licencia_construccion,60,alta
permiso_uso_espacio_publico,2,alta
solicitud_certificado_residencia,2,baja
denuncia_ruidos_molestos,6,media
reclamo_alumbrado_publico,4,alta
solicitud_poda_arboles,12,media
registro_mascotas,2,baja
solicitud_limpieza_calles,1,alta
emergencia_sanitaria,1,muy_alta
reporte_fuga_agua,1,muy_alta
solicitud_licencia_funcionamiento_comercial,8,media
pago_impuestos_municipales,2,baja
solicitud_constancia_posesion_propiedad,6,media
registro_actualizacion_datos_catastrales,4,media
permiso_eventos_publicos,5,media
solicitud_regularizacion_obras,40,alta
inscripcion_programas_sociales_municipales,4,media
solicitud_ayuda_social_asistencial,3,alta
denuncia_ocupacion_indebida_via_publica,2,alta
permiso_colocacion_anuncios_publicitarios,3,media
reclamo_basura_residuos_solidos,2,media
solicitud_reparacion_vias_veredas,6,alta
solicitud_acceso_informacion_publica,9,media
renovacion_licencia_conducir,2,media
solicitud_copias_certificadas_documentos_municipales,2,baja
solicitud_licencia_construccion,22,media
permiso_uso_espacio_publico,8,alta
solicitud_certificado_residencia,1,baja
denuncia_ruidos_molestos,2,media
reclamo_alumbrado_publico,2,alta
solicitud_poda_arboles,11,media
registro_mascotas,1,baja
solicitud_limpieza_calles,4,media
emergencia_sanitaria,1,muy_alta
reporte_fuga_agua,1,muy_alta
solicitud_licencia_funcionamiento_comercial,12,alta
pago_impuestos_municipales,3,media
solicitud_constancia_posesion_propiedad,4,media
registro_actualizacion_datos_catastrales,6,media
permiso_eventos_publicos,12,alta
solicitud_regularizacion_obras,18,media
inscripcion_programas_sociales_municipales,6,media
solicitud_ayuda_social_asistencial,1,alta
denuncia_ocupacion_indebida_via_publica,2,alta
permiso_colocacion_anuncios_publicitarios,6,media
reclamo_basura_residuos_solidos,1,muy_alta
solicitud_reparacion_vias_veredas,7,alta
solicitud_acceso_informacion_publica,8,media
renovacion_licencia_conducir,2,media
solicitud_copias_certificadas_documentos_municipales,2,baja
